customerID,churn_probability,risk_band,recommended_action
3838-ozurd,0.5879,Medium,Send personalized engagement email
1371-dwpaz,0.1882,Low,No action required
9269-cqool,0.6542,Medium,Send personalized engagement email
2017-ccblh,0.0759,Low,No action required
7690-kpncu,0.1148,Low,No action required
0536-bgfmz,0.1642,Low,No action required
2293-ijwps,0.4258,Medium,Send personalized engagement email
2845-hsjcy,0.7726,High,Offer retention discount immediately
5469-nujur,0.075,Low,No action required
1184-pjvdb,0.8383,High,Offer retention discount immediately
2625-trczq,0.5005,Medium,Send personalized engagement email
4102-hlenu,0.1015,Low,No action required
7266-gssjx,0.3456,Low,No action required
7722-vjrqd,0.0439,Low,No action required
7073-qetqy,0.0611,Low,No action required
9415-dpews,0.7683,High,Offer retention discount immediately
5624-ryamh,0.4015,Medium,Send personalized engagement email
0196-jtuqi,0.7367,High,Offer retention discount immediately
7130-yxbro,0.5973,Medium,Send personalized engagement email
9272-lsvyh,0.6593,Medium,Send personalized engagement email
7943-rqchr,0.873,High,Offer retention discount immediately
3793-mmfuh,0.8585,High,Offer retention discount immediately
3249-zpqrg,0.7807,High,Offer retention discount immediately
2568-brgyx,0.8295,High,Offer retention discount immediately
3084-dowle,0.0497,Low,No action required
1084-mnsmj,0.124,Low,No action required
7721-jxeaw,0.3227,Low,No action required
7249-wbiyx,0.8527,High,Offer retention discount immediately
4238-hfhsn,0.6106,Medium,Send personalized engagement email
6250-cggun,0.2247,Low,No action required
5478-jjvzk,0.3375,Low,No action required
7596-iiwyc,0.062,Low,No action required
6567-hoopw,0.9352,High,Offer retention discount immediately
9793-wecqc,0.5487,Medium,Send personalized engagement email
4291-hpaxl,0.5532,Medium,Send personalized engagement email
8999-ypybv,0.1062,Low,No action required
1839-fbnfr,0.0632,Low,No action required
3164-aalrn,0.2197,Low,No action required
3071-mvjcd,0.0392,Low,No action required
1697-bcshv,0.2797,Low,No action required
0562-kbdvm,0.1193,Low,No action required
1131-suekt,0.2768,Low,No action required
3717-oeauq,0.7129,High,Offer retention discount immediately
4538-wntmj,0.0664,Low,No action required
3334-cthol,0.7289,High,Offer retention discount immediately
4704-eryfc,0.6932,Medium,Send personalized engagement email
9432-ruvsl,0.3581,Low,No action required
8060-hiwjj,0.111,Low,No action required
7684-xsziy,0.0233,Low,No action required
9089-uowjg,0.459,Medium,Send personalized engagement email
8621-mnihh,0.7101,High,Offer retention discount immediately
8039-aclpl,0.0464,Low,No action required
9885-aibvb,0.7121,High,Offer retention discount immediately
1934-mkpxs,0.0478,Low,No action required
2592-ykdif,0.5832,Medium,Send personalized engagement email
2272-jkmsi,0.2804,Low,No action required
0471-lvhgk,0.2765,Low,No action required
9518-rwhzl,0.3599,Low,No action required
8714-ctzjw,0.831,High,Offer retention discount immediately
3569-edbpq,0.703,High,Offer retention discount immediately
3131-nwvfj,0.0659,Low,No action required
7521-yxvzy,0.3287,Low,No action required
5419-conwx,0.8943,High,Offer retention discount immediately
6240-eurks,0.5564,Medium,Send personalized engagement email
2373-ntkod,0.6428,Medium,Send personalized engagement email
1970-kkfwl,0.0614,Low,No action required
6960-hvyxr,0.8774,High,Offer retention discount immediately
9337-srrni,0.0492,Low,No action required
0895-uadgo,0.1971,Low,No action required
5678-vfneq,0.2242,Low,No action required
5977-ckhon,0.5716,Medium,Send personalized engagement email
7024-ohcck,0.8918,High,Offer retention discount immediately
2692-bucfv,0.7039,High,Offer retention discount immediately
7861-uvuft,0.7818,High,Offer retention discount immediately
1830-ggfnm,0.202,Low,No action required
5302-bdjnt,0.569,Medium,Send personalized engagement email
5223-uzavk,0.3341,Low,No action required
4859-zsrdz,0.1192,Low,No action required
5651-wyiph,0.4543,Medium,Send personalized engagement email
9350-vlhmb,0.4342,Medium,Send personalized engagement email
3498-lzgqz,0.0368,Low,No action required
8785-cjshh,0.6572,Medium,Send personalized engagement email
5357-tzhpp,0.8228,High,Offer retention discount immediately
3870-spzsi,0.2335,Low,No action required
0680-dfnny,0.8307,High,Offer retention discount immediately
7560-qrbxh,0.0507,Low,No action required
7077-xjmet,0.7474,High,Offer retention discount immediately
8752-ghjfu,0.1821,Low,No action required
6896-srvyq,0.6238,Medium,Send personalized engagement email
7767-uxagj,0.8211,High,Offer retention discount immediately
4652-odevh,0.0664,Low,No action required
6510-upnks,0.075,Low,No action required
6718-bdghg,0.1884,Low,No action required
9046-dqmtp,0.1837,Low,No action required
6439-lajxl,0.5784,Medium,Send personalized engagement email
1571-savhk,0.8386,High,Offer retention discount immediately
9052-vkduw,0.4849,Medium,Send personalized engagement email
9546-cqjsu,0.8846,High,Offer retention discount immediately
1666-jzpzt,0.2961,Low,No action required
5777-kjirb,0.1573,Low,No action required
0506-lvngn,0.7914,High,Offer retention discount immediately
7677-sjjjk,0.07,Low,No action required
2480-ejwyp,0.3313,Low,No action required
3253-hkokl,0.3909,Low,No action required
7055-hneoj,0.6782,Medium,Send personalized engagement email
5514-yqent,0.3843,Low,No action required
3211-aapkx,0.7182,High,Offer retention discount immediately
8445-dnbae,0.7855,High,Offer retention discount immediately
2951-qoqtk,0.7638,High,Offer retention discount immediately
2958-nhpps,0.2258,Low,No action required
6806-ydeul,0.3742,Low,No action required
1735-xmjvh,0.2652,Low,No action required
6890-pfrqx,0.3978,Low,No action required
0222-cnvpt,0.3973,Low,No action required
5899-ouvkv,0.6902,Medium,Send personalized engagement email
8681-icons,0.1806,Low,No action required
1621-yncjh,0.458,Medium,Send personalized engagement email
3473-xiiit,0.827,High,Offer retention discount immediately
6362-qhafm,0.5715,Medium,Send personalized engagement email
7893-ixhrq,0.6873,Medium,Send personalized engagement email
3070-bdoqc,0.4023,Medium,Send personalized engagement email
2952-qayzf,0.8704,High,Offer retention discount immediately
6234-pfpxl,0.5873,Medium,Send personalized engagement email
9824-qcjpk,0.0551,Low,No action required
4763-pgdpo,0.7535,High,Offer retention discount immediately
4283-ivyci,0.394,Low,No action required
1866-obpnr,0.8023,High,Offer retention discount immediately
8205-mqugy,0.577,Medium,Send personalized engagement email
8970-anwxo,0.1451,Low,No action required
9480-bqjei,0.1375,Low,No action required
5394-svgjv,0.5317,Medium,Send personalized engagement email
6979-tndeu,0.1103,Low,No action required
9777-wjjpr,0.5131,Medium,Send personalized engagement email
9283-lzqoh,0.6806,Medium,Send personalized engagement email
7079-qrcbc,0.7922,High,Offer retention discount immediately
9495-sklkd,0.5937,Medium,Send personalized engagement email
6048-uwkal,0.2921,Low,No action required
5067-dgxll,0.3693,Low,No action required
5469-ctcwn,0.3888,Low,No action required
9851-qxeeq,0.7469,High,Offer retention discount immediately
6281-fkews,0.2586,Low,No action required
8898-kascd,0.1416,Low,No action required
9242-tkfsv,0.0481,Low,No action required
9290-shcmb,0.8703,High,Offer retention discount immediately
0743-hnpfg,0.1503,Low,No action required
2277-bkjkn,0.2513,Low,No action required
9809-imgcq,0.8227,High,Offer retention discount immediately
5208-hfsbt,0.6919,Medium,Send personalized engagement email
5035-pgzxh,0.5165,Medium,Send personalized engagement email
8695-wdyea,0.676,Medium,Send personalized engagement email
6543-jxsoo,0.1484,Low,No action required
8016-zmgmo,0.1185,Low,No action required
8605-ituld,0.5832,Medium,Send personalized engagement email
3254-yrilk,0.7839,High,Offer retention discount immediately
6416-yjttb,0.7485,High,Offer retention discount immediately
2667-wylwj,0.0782,Low,No action required
4472-vesgy,0.4904,Medium,Send personalized engagement email
3195-tqdzx,0.5129,Medium,Send personalized engagement email
3128-yovtd,0.5112,Medium,Send personalized engagement email
0529-onker,0.6947,Medium,Send personalized engagement email
1728-cxqbe,0.5902,Medium,Send personalized engagement email
7041-txqjh,0.3619,Low,No action required
5014-gsouq,0.067,Low,No action required
5724-bidbu,0.2586,Low,No action required
0481-sumcb,0.4852,Medium,Send personalized engagement email
1769-gruik,0.7199,High,Offer retention discount immediately
5240-ijoqt,0.9263,High,Offer retention discount immediately
8819-wfggj,0.1148,Low,No action required
7427-aufpy,0.0587,Low,No action required
2811-povex,0.6254,Medium,Send personalized engagement email
1092-ganhu,0.7405,High,Offer retention discount immediately
7898-pdwqe,0.0669,Low,No action required
9972-ewrjs,0.0333,Low,No action required
9314-ijwsq,0.7773,High,Offer retention discount immediately
0661-xeyan,0.8129,High,Offer retention discount immediately
5799-jrczo,0.0449,Low,No action required
1921-kysay,0.2687,Low,No action required
6198-rtpmf,0.6722,Medium,Send personalized engagement email
2924-khuvi,0.4786,Medium,Send personalized engagement email
1925-gmvbw,0.2907,Low,No action required
7881-evuad,0.7786,High,Offer retention discount immediately
6184-dyuob,0.4447,Medium,Send personalized engagement email
9207-zpanb,0.2047,Low,No action required
5766-xqxmq,0.3708,Low,No action required
9327-qsded,0.4559,Medium,Send personalized engagement email
1656-drsmg,0.5469,Medium,Send personalized engagement email
3012-vffmn,0.2204,Low,No action required
2984-afwnc,0.819,High,Offer retention discount immediately
0640-yjtpy,0.0216,Low,No action required
8096-loist,0.6133,Medium,Send personalized engagement email
9764-reaff,0.0262,Low,No action required
3703-vavcl,0.8044,High,Offer retention discount immediately
7107-ubyky,0.4368,Medium,Send personalized engagement email
4881-gqjtw,0.2354,Low,No action required
8519-qjgjd,0.618,Medium,Send personalized engagement email
7876-dnyap,0.0404,Low,No action required
7905-njmxs,0.5279,Medium,Send personalized engagement email
2882-wdtba,0.0942,Low,No action required
2091-gppiq,0.1879,Low,No action required
6326-mttxk,0.8378,High,Offer retention discount immediately
5071-fbjfs,0.5577,Medium,Send personalized engagement email
2796-uuzzo,0.4249,Medium,Send personalized engagement email
2429-aykko,0.0273,Low,No action required
9798-opfem,0.0809,Low,No action required
0330-ivzha,0.7535,High,Offer retention discount immediately
3794-nfnch,0.3534,Low,No action required
5193-qlvzb,0.3837,Low,No action required
7114-aeoze,0.0483,Low,No action required
2886-kefum,0.4405,Medium,Send personalized engagement email
5522-nykpb,0.6218,Medium,Send personalized engagement email
4237-rlaqd,0.7368,High,Offer retention discount immediately
9957-yodkz,0.8612,High,Offer retention discount immediately
6518-kzxcb,0.0874,Low,No action required
2245-adzfj,0.163,Low,No action required
7776-qgyjc,0.5662,Medium,Send personalized engagement email
9313-qoltz,0.2156,Low,No action required
9651-gtsaq,0.4402,Medium,Send personalized engagement email
3186-baxnb,0.8742,High,Offer retention discount immediately
4672-fotsd,0.5806,Medium,Send personalized engagement email
0637-ylety,0.7361,High,Offer retention discount immediately
9818-xqcuv,0.3625,Low,No action required
7338-eriva,0.1131,Low,No action required
1157-bqcuw,0.9116,High,Offer retention discount immediately
8259-nfjtv,0.3971,Low,No action required
3223-dwfio,0.7391,High,Offer retention discount immediately
2660-emubi,0.885,High,Offer retention discount immediately
6968-gmkpr,0.6029,Medium,Send personalized engagement email
4751-erman,0.0682,Low,No action required
1436-zmjan,0.4488,Medium,Send personalized engagement email
3292-pbzej,0.8517,High,Offer retention discount immediately
0799-ddihe,0.4622,Medium,Send personalized engagement email
3070-fnfzq,0.0484,Low,No action required
2812-sfxmj,0.5532,Medium,Send personalized engagement email
7675-ozczg,0.7413,High,Offer retention discount immediately
5014-wuqmg,0.426,Medium,Send personalized engagement email
5312-tszvc,0.0659,Low,No action required
2003-cklor,0.5472,Medium,Send personalized engagement email
0993-osgpt,0.1148,Low,No action required
9254-rbfon,0.3577,Low,No action required
1205-wnwpj,0.5217,Medium,Send personalized engagement email
9391-eoyli,0.8265,High,Offer retention discount immediately
7108-dgvuu,0.1426,Low,No action required
2782-jeebu,0.442,Medium,Send personalized engagement email
5127-bzenz,0.1069,Low,No action required
2720-fvbqp,0.4962,Medium,Send personalized engagement email
9906-nhhvc,0.1148,Low,No action required
4522-xrwwi,0.1469,Low,No action required
3766-ejlfl,0.2511,Low,No action required
5939-sxwhm,0.0681,Low,No action required
8152-uobny,0.5327,Medium,Send personalized engagement email
7351-kyhqh,0.617,Medium,Send personalized engagement email
7643-rchxs,0.0603,Low,No action required
8246-shfga,0.2525,Low,No action required
8387-mojjt,0.5519,Medium,Send personalized engagement email
0620-xefwh,0.1327,Low,No action required
6485-qxwwe,0.0819,Low,No action required
2761-ociax,0.8457,High,Offer retention discount immediately
7321-vgnku,0.8379,High,Offer retention discount immediately
5327-cnluq,0.3529,Low,No action required
7552-keygt,0.0554,Low,No action required
5816-jmlgy,0.0732,Low,No action required
3068-omwza,0.9252,High,Offer retention discount immediately
2927-qrrqv,0.4086,Medium,Send personalized engagement email
6032-krxxo,0.7004,High,Offer retention discount immediately
7459-rrwqz,0.4776,Medium,Send personalized engagement email
6265-sxwbu,0.2049,Low,No action required
7941-rcjow,0.0545,Low,No action required
6374-ntqlp,0.0753,Low,No action required
4154-aqugt,0.7536,High,Offer retention discount immediately
2387-kdzqy,0.076,Low,No action required
3584-wkttw,0.4715,Medium,Send personalized engagement email
3399-bmlvw,0.1418,Low,No action required
1971-dtczb,0.0497,Low,No action required
3092-ighwf,0.2104,Low,No action required
3374-pzlxd,0.1871,Low,No action required
3813-dhbbb,0.1148,Low,No action required
2812-reyat,0.0621,Low,No action required
6518-pplmz,0.0639,Low,No action required
4939-kyypy,0.3726,Low,No action required
8017-lxhfa,0.7669,High,Offer retention discount immediately
5930-gbiwp,0.0917,Low,No action required
6022-kouqo,0.5485,Medium,Send personalized engagement email
6352-twcau,0.6971,Medium,Send personalized engagement email
2361-upsnd,0.1368,Low,No action required
6035-riiom,0.3588,Low,No action required
2929-qnsrw,0.4405,Medium,Send personalized engagement email
1262-opmfy,0.7367,High,Offer retention discount immediately
9504-dshwm,0.3587,Low,No action required
5035-bvcxs,0.6971,Medium,Send personalized engagement email
6267-dcffz,0.729,High,Offer retention discount immediately
3533-uvmom,0.101,Low,No action required
2439-lypmq,0.768,High,Offer retention discount immediately
4248-qpavc,0.6742,Medium,Send personalized engagement email
1899-vxwxm,0.4855,Medium,Send personalized engagement email
1478-vpoad,0.7561,High,Offer retention discount immediately
9995-hotoh,0.1776,Low,No action required
2988-plahs,0.2995,Low,No action required
1371-ojcek,0.0766,Low,No action required
4999-iezlt,0.1117,Low,No action required
8883-anodq,0.136,Low,No action required
4690-llkua,0.6266,Medium,Send personalized engagement email
2351-rrbue,0.0683,Low,No action required
5980-bdhpy,0.0483,Low,No action required
1498-dqnrx,0.1779,Low,No action required
9469-wejbt,0.6561,Medium,Send personalized engagement email
3331-hqdtw,0.6189,Medium,Send personalized engagement email
9490-dfpmd,0.7189,High,Offer retention discount immediately
2581-vkirt,0.1021,Low,No action required
5442-xsdcw,0.7373,High,Offer retention discount immediately
7426-weijx,0.5719,Medium,Send personalized engagement email
2851-mmutz,0.3434,Low,No action required
3049-ndxfl,0.8566,High,Offer retention discount immediately
8580-aecuz,0.9352,High,Offer retention discount immediately
3307-tlcud,0.3508,Low,No action required
6625-fleno,0.053,Low,No action required
2967-mxrav,0.0637,Low,No action required
7963-gqrmy,0.5678,Medium,Send personalized engagement email
8189-hbvrw,0.5295,Medium,Send personalized engagement email
4163-kiuhy,0.4747,Medium,Send personalized engagement email
1228-fzfrv,0.5455,Medium,Send personalized engagement email
3500-nsdoa,0.1036,Low,No action required
1171-tykur,0.3541,Low,No action required
3761-flyzi,0.5836,Medium,Send personalized engagement email
2058-dcjbe,0.8295,High,Offer retention discount immediately
5364-xyirr,0.6649,Medium,Send personalized engagement email
4829-auoax,0.5256,Medium,Send personalized engagement email
1219-nnddo,0.8235,High,Offer retention discount immediately
8388-dmkae,0.0759,Low,No action required
4403-bwpay,0.1161,Low,No action required
9659-qeqsy,0.6465,Medium,Send personalized engagement email
5405-zmyxq,0.7367,High,Offer retention discount immediately
5047-lhvly,0.7647,High,Offer retention discount immediately
1442-okrje,0.207,Low,No action required
4737-aqcpu,0.0473,Low,No action required
9158-vctqb,0.6108,Medium,Send personalized engagement email
2808-chtdm,0.065,Low,No action required
6311-ueume,0.702,High,Offer retention discount immediately
0793-tweln,0.858,High,Offer retention discount immediately
3283-wcwxt,0.0911,Low,No action required
1060-entof,0.3384,Low,No action required
0999-qxnsa,0.4758,Medium,Send personalized engagement email
5451-mhqof,0.0576,Low,No action required
4836-wnfno,0.0287,Low,No action required
9225-bzlnz,0.1397,Low,No action required
0354-vxmjc,0.053,Low,No action required
4422-qvija,0.2681,Low,No action required
9365-srsze,0.6357,Medium,Send personalized engagement email
6839-itvzj,0.5026,Medium,Send personalized engagement email
8332-osjdw,0.0931,Low,No action required
4735-bjkou,0.0551,Low,No action required
0274-jkujr,0.4015,Medium,Send personalized engagement email
5740-yhgtw,0.5043,Medium,Send personalized engagement email
8917-szttj,0.0477,Low,No action required
1696-mzvau,0.0806,Low,No action required
7359-wwyjv,0.0769,Low,No action required
0375-hvgxo,0.8158,High,Offer retention discount immediately
4906-zhgpk,0.2218,Low,No action required
8593-whyhv,0.8735,High,Offer retention discount immediately
3795-gwtrd,0.1152,Low,No action required
1298-phbti,0.1867,Low,No action required
6223-dhjgv,0.064,Low,No action required
6961-mjkbo,0.0536,Low,No action required
6097-eqisj,0.3265,Low,No action required
4423-ylhdv,0.73,High,Offer retention discount immediately
8158-wpezg,0.6351,Medium,Send personalized engagement email
0107-yhina,0.9265,High,Offer retention discount immediately
4918-fyjnt,0.5852,Medium,Send personalized engagement email
0727-bnrlg,0.2846,Low,No action required
4854-cidcf,0.7722,High,Offer retention discount immediately
8640-sdgkb,0.8063,High,Offer retention discount immediately
3280-mrdof,0.1386,Low,No action required
6435-srwbj,0.8638,High,Offer retention discount immediately
9964-wbqdj,0.0556,Low,No action required
6303-kfwsl,0.2509,Low,No action required
1702-ccfnj,0.3264,Low,No action required
8932-czhrq,0.1046,Low,No action required
0386-cwrgm,0.0541,Low,No action required
5515-rugkn,0.5008,Medium,Send personalized engagement email
0404-ahasp,0.0273,Low,No action required
7279-nmvjc,0.0639,Low,No action required
2081-veyeh,0.885,High,Offer retention discount immediately
6407-utslv,0.8488,High,Offer retention discount immediately
4116-tzaqj,0.7367,High,Offer retention discount immediately
9060-hjjrw,0.153,Low,No action required
2587-ynles,0.07,Low,No action required
7398-sknqz,0.8234,High,Offer retention discount immediately
5935-fccnb,0.8022,High,Offer retention discount immediately
1958-rnrks,0.3855,Low,No action required
5136-rgmzo,0.6218,Medium,Send personalized engagement email
8345-mvdyc,0.1448,Low,No action required
8226-bxges,0.1151,Low,No action required
3877-jrjip,0.8405,High,Offer retention discount immediately
8375-dkebr,0.9313,High,Offer retention discount immediately
9705-iovqq,0.2975,Low,No action required
1015-owjki,0.4037,Medium,Send personalized engagement email
7511-ymxvq,0.6522,Medium,Send personalized engagement email
2040-xbavj,0.0519,Low,No action required
7551-johti,0.5832,Medium,Send personalized engagement email
8887-ipqnc,0.5354,Medium,Send personalized engagement email
8646-jcoms,0.1339,Low,No action required
9804-icwbg,0.9245,High,Offer retention discount immediately
1222-kjnzd,0.1859,Low,No action required
0106-ghrqr,0.5672,Medium,Send personalized engagement email
5318-ixuzf,0.8483,High,Offer retention discount immediately
3768-vhxqo,0.0545,Low,No action required
8952-wcvcd,0.4316,Medium,Send personalized engagement email
2418-tpeun,0.0561,Low,No action required
3963-ryfns,0.1053,Low,No action required
3198-velrd,0.8412,High,Offer retention discount immediately
8540-zqgea,0.055,Low,No action required
1320-rehcs,0.625,Medium,Send personalized engagement email
4137-jophl,0.1683,Low,No action required
9436-zbzct,0.8061,High,Offer retention discount immediately
7801-cednv,0.134,Low,No action required
2057-boykm,0.0889,Low,No action required
3658-qqjyd,0.1219,Low,No action required
1803-bgnbd,0.6255,Medium,Send personalized engagement email
0134-xwxce,0.1415,Low,No action required
6950-twmyb,0.1655,Low,No action required
5848-fhrfc,0.0435,Low,No action required
2243-fnmmi,0.21,Low,No action required
2511-morqy,0.1475,Low,No action required
5356-kzckt,0.0719,Low,No action required
9470-xccem,0.5755,Medium,Send personalized engagement email
6519-cfdbx,0.7786,High,Offer retention discount immediately
3902-mivle,0.1074,Low,No action required
0409-wtmpl,0.3714,Low,No action required
8763-kiafh,0.0544,Low,No action required
3669-whafy,0.181,Low,No action required
3055-vtcgs,0.1135,Low,No action required
3144-kmtwz,0.4069,Medium,Send personalized engagement email
7279-buywn,0.719,High,Offer retention discount immediately
7156-mhugy,0.8552,High,Offer retention discount immediately
7198-glxtc,0.7807,High,Offer retention discount immediately
2007-qvgaw,0.0496,Low,No action required
5207-plstk,0.6931,Medium,Send personalized engagement email
2307-fynnl,0.3998,Low,No action required
5605-xnwen,0.0393,Low,No action required
2155-amqrx,0.3534,Low,No action required
6181-axxyf,0.0233,Low,No action required
5091-hfazw,0.8711,High,Offer retention discount immediately
0516-vrybw,0.0581,Low,No action required
2519-lbnql,0.4855,Medium,Send personalized engagement email
8623-ulfnq,0.5434,Medium,Send personalized engagement email
8380-pefpe,0.894,High,Offer retention discount immediately
5687-dkdtv,0.2896,Low,No action required
1568-ljszu,0.0762,Low,No action required
7530-hdyds,0.5523,Medium,Send personalized engagement email
7789-hksbs,0.4997,Medium,Send personalized engagement email
7416-cktep,0.062,Low,No action required
2586-cwxvv,0.3835,Low,No action required
3096-izetn,0.6593,Medium,Send personalized engagement email
2348-kcjlt,0.1594,Low,No action required
8401-emuwf,0.4642,Medium,Send personalized engagement email
4193-ibksw,0.0233,Low,No action required
5377-ndtou,0.0567,Low,No action required
5922-abdvo,0.5781,Medium,Send personalized engagement email
2474-lcnue,0.4623,Medium,Send personalized engagement email
0839-qnxme,0.0554,Low,No action required
3506-ovlkd,0.1311,Low,No action required
9172-ancrx,0.8933,High,Offer retention discount immediately
6650-vjonk,0.7368,High,Offer retention discount immediately
2178-pmgcj,0.568,Medium,Send personalized engagement email
7492-tafjd,0.1822,Low,No action required
2773-madbq,0.1314,Low,No action required
6016-lvtjq,0.1561,Low,No action required
7860-ksugx,0.0457,Low,No action required
8966-kzxxa,0.0664,Low,No action required
6910-hadcm,0.8787,High,Offer retention discount immediately
4816-lxzyw,0.702,High,Offer retention discount immediately
9606-pbkbq,0.7344,High,Offer retention discount immediately
5149-qyttu,0.136,Low,No action required
2070-xymfh,0.5912,Medium,Send personalized engagement email
2085-bojki,0.4275,Medium,Send personalized engagement email
0817-hsuse,0.877,High,Offer retention discount immediately
5442-pptjy,0.0745,Low,No action required
1927-qewmy,0.0249,Low,No action required
1663-mhlhe,0.3968,Low,No action required
5663-qbgis,0.0582,Low,No action required
4450-mdzfx,0.3534,Low,No action required
6701-dhkwq,0.0958,Low,No action required
7554-akdqf,0.4577,Medium,Send personalized engagement email
3536-iqctx,0.6731,Medium,Send personalized engagement email
4911-banwh,0.5972,Medium,Send personalized engagement email
8496-ejaui,0.5952,Medium,Send personalized engagement email
0794-yvsge,0.0222,Low,No action required
5423-bhixo,0.4969,Medium,Send personalized engagement email
6908-vvyhm,0.5985,Medium,Send personalized engagement email
2959-eexwb,0.3521,Low,No action required
1839-umack,0.1069,Low,No action required
3030-ydnrm,0.8188,High,Offer retention discount immediately
7321-kksdu,0.0494,Low,No action required
3402-xriuo,0.4083,Medium,Send personalized engagement email
3132-tvfdz,0.5017,Medium,Send personalized engagement email
8286-afuyi,0.7622,High,Offer retention discount immediately
8080-ddemj,0.8496,High,Offer retention discount immediately
8356-wuaoj,0.8269,High,Offer retention discount immediately
6365-mtgzx,0.7506,High,Offer retention discount immediately
1349-wxngg,0.5832,Medium,Send personalized engagement email
8058-dmyru,0.6663,Medium,Send personalized engagement email
9350-zxyjc,0.1342,Low,No action required
6990-ynrio,0.2152,Low,No action required
8958-jptrr,0.0858,Low,No action required
6959-gqegv,0.5801,Medium,Send personalized engagement email
3173-wssue,0.0341,Low,No action required
1265-hvpzb,0.1018,Low,No action required
4115-umjfq,0.1379,Low,No action required
7369-trpfd,0.0314,Low,No action required
1098-kfqec,0.0543,Low,No action required
7190-xhtwj,0.0412,Low,No action required
0621-twiem,0.6474,Medium,Send personalized engagement email
3537-rybhh,0.3791,Low,No action required
2485-itvkb,0.7786,High,Offer retention discount immediately
3669-oysji,0.6847,Medium,Send personalized engagement email
1612-eohdh,0.7622,High,Offer retention discount immediately
6702-ohfwr,0.8715,High,Offer retention discount immediately
5296-bfcyd,0.056,Low,No action required
4510-pyush,0.4277,Medium,Send personalized engagement email
9359-janws,0.1015,Low,No action required
7517-sawmo,0.7199,High,Offer retention discount immediately
4143-hhpmk,0.6355,Medium,Send personalized engagement email
3279-dyzqm,0.0341,Low,No action required
7054-lgeqw,0.6847,Medium,Send personalized engagement email
0523-vngtf,0.4909,Medium,Send personalized engagement email
9575-iwcaz,0.1047,Low,No action required
7105-mxjll,0.1278,Low,No action required
7064-frrsw,0.4608,Medium,Send personalized engagement email
7940-uqqug,0.3374,Low,No action required
0923-pnfub,0.7961,High,Offer retention discount immediately
3961-sxaxy,0.7368,High,Offer retention discount immediately
7010-brbuu,0.0233,Low,No action required
3566-hjgpk,0.7368,High,Offer retention discount immediately
3062-icyzq,0.6467,Medium,Send personalized engagement email
9938-prcvk,0.0541,Low,No action required
0973-kyvnf,0.0625,Low,No action required
5129-hhmzc,0.1486,Low,No action required
9637-cdtkz,0.1053,Low,No action required
3946-jewrq,0.359,Low,No action required
7873-cvmaw,0.0483,Low,No action required
0463-wzzko,0.4472,Medium,Send personalized engagement email
3494-jchrq,0.9056,High,Offer retention discount immediately
6474-fvjlc,0.8735,High,Offer retention discount immediately
4524-qcssm,0.3434,Low,No action required
5832-exgtt,0.3289,Low,No action required
8840-dqlgn,0.6842,Medium,Send personalized engagement email
2039-jondj,0.1278,Low,No action required
7217-jyhoq,0.4679,Medium,Send personalized engagement email
6695-frvec,0.1073,Low,No action required
4547-lytdd,0.6119,Medium,Send personalized engagement email
9894-qmimj,0.1323,Low,No action required
8069-yqqaj,0.4663,Medium,Send personalized engagement email
6770-xuagn,0.7622,High,Offer retention discount immediately
4193-orfcl,0.7928,High,Offer retention discount immediately
1636-ntnco,0.6033,Medium,Send personalized engagement email
3466-waesx,0.6638,Medium,Send personalized engagement email
9281-pkkze,0.4606,Medium,Send personalized engagement email
3638-vbzta,0.0741,Low,No action required
7459-imvyu,0.5068,Medium,Send personalized engagement email
7776-qwnfx,0.3816,Low,No action required
6689-tczhq,0.8064,High,Offer retention discount immediately
8563-oymqy,0.6385,Medium,Send personalized engagement email
0754-eebdc,0.0733,Low,No action required
5777-zpqnc,0.0826,Low,No action required
1951-ieyxm,0.0393,Low,No action required
3318-nmqxl,0.8846,High,Offer retention discount immediately
3143-ildal,0.6123,Medium,Send personalized engagement email
1022-rkxdr,0.091,Low,No action required
2361-fjwno,0.1416,Low,No action required
2272-uoini,0.7403,High,Offer retention discount immediately
8232-utfoz,0.0435,Low,No action required
3750-yhryo,0.0683,Low,No action required
6637-kyrcv,0.642,Medium,Send personalized engagement email
5668-meisb,0.0629,Low,No action required
0129-qmpdr,0.0545,Low,No action required
7188-cbbba,0.3697,Low,No action required
5356-csvsq,0.6632,Medium,Send personalized engagement email
3221-cjmsg,0.3705,Low,No action required
4720-vstsi,0.5509,Medium,Send personalized engagement email
3219-jqrsl,0.0483,Low,No action required
2801-nisei,0.4163,Medium,Send personalized engagement email
3946-mhczw,0.676,Medium,Send personalized engagement email
4623-zkhly,0.2385,Low,No action required
6732-vaile,0.0741,Low,No action required
8201-aaxcb,0.4168,Medium,Send personalized engagement email
7696-cftat,0.0541,Low,No action required
1845-csbrz,0.6482,Medium,Send personalized engagement email
2123-vscot,0.115,Low,No action required
6651-azvtj,0.6812,Medium,Send personalized engagement email
4566-goluk,0.6364,Medium,Send personalized engagement email
2484-dgxpz,0.2052,Low,No action required
2018-qkygt,0.9114,High,Offer retention discount immediately
2792-vppet,0.506,Medium,Send personalized engagement email
7409-jurkq,0.4211,Medium,Send personalized engagement email
3247-mhjkm,0.5832,Medium,Send personalized engagement email
1964-svlea,0.0799,Low,No action required
4587-nukox,0.858,High,Offer retention discount immediately
7297-dvyga,0.0653,Low,No action required
